Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
mobilenetv4_hybrid_large.e600_r384_in1k,384,83.822,88.614,73.45,37.322,35.667,96.43,51.403,95.99,https://huggingface.co/timm/mobilenetv4_hybrid_large.e600_r384_in1k
mobilenetv4_hybrid_large.e600_r384_in1k,448,84.274,89.004,74.11,36.556,39.6,96.7,50.837,95.9,https://huggingface.co/timm/mobilenetv4_hybrid_large.e600_r384_in1k
mobilenetv4_hybrid_large.ix_e600_r384_in1k,384,83.984,88.492,73.64,38.051,36.333,96.46,51.397,95.9,https://huggingface.co/timm/mobilenetv4_hybrid_large.ix_e600_r384_in1k
mobilenetv4_hybrid_large.ix_e600_r384_in1k,448,84.364,88.81,74.27,37.124,39.707,96.6,50.71,96.1,https://huggingface.co/timm/mobilenetv4_hybrid_large.ix_e600_r384_in1k
mobilenetv4_hybrid_medium.e200_r256_in12k_ft_in1k,256,82.362,87.662,71.95,34.139,27.693,95.82,46.887,95.1,https://huggingface.co/timm/mobilenetv4_hybrid_medium.e200_r256_in12k_ft_in1k
mobilenetv4_hybrid_medium.e200_r256_in12k_ft_in1k,320,82.99,88.447,72.53,32.365,33.253,96.17,45.823,95.31,https://huggingface.co/timm/mobilenetv4_hybrid_medium.e200_r256_in12k_ft_in1k
mobilenetv4_hybrid_medium.e500_r224_in1k,224,80.438,86.408,69.15,33.504,15.893,94.86,46.167,94.2,https://huggingface.co/timm/mobilenetv4_hybrid_medium.e500_r224_in1k
mobilenetv4_hybrid_medium.e500_r224_in1k,256,81.284,86.959,70.15,33.5,18.013,95.47,45.913,94.86,https://huggingface.co/timm/mobilenetv4_hybrid_medium.e500_r224_in1k
mobilenetv4_hybrid_medium.ix_e550_r256_in1k,256,81.474,86.825,70.56,32.809,19.6,95.37,44.83,94.82,https://huggingface.co/timm/mobilenetv4_hybrid_medium.ix_e550_r256_in1k
mobilenetv4_hybrid_medium.ix_e550_r256_in1k,320,82.496,87.728,71.93,31.954,25.667,95.77,44.46,95.23,https://huggingface.co/timm/mobilenetv4_hybrid_medium.ix_e550_r256_in1k
mobilenetv4_hybrid_medium.ix_e550_r384_in1k,384,82.96,88.037,72.36,34.758,31.44,96.05,47.61,95.62,https://huggingface.co/timm/mobilenetv4_hybrid_medium.ix_e550_r384_in1k
mobilenetv4_hybrid_medium.ix_e550_r384_in1k,448,83.422,88.415,73.04,34.07,34.947,96.32,47.017,95.72,https://huggingface.co/timm/mobilenetv4_hybrid_medium.ix_e550_r384_in1k
