Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,levit_conv_384.fb_dist_in1k,224,82.6,,496.0,8664.697720139739,57.24578304819277,28.716046045057443,True
TBD,TBD,maxvit_base_tf_224.in1k,224,84.87,,32.0,931.7771474671588,34.36457979422383,266.9141831830776,True
TBD,TBD,maxvit_base_tf_384.in1k,384,86.294,,8.0,302.1254224990755,26.47981579888268,821.3038589654748,True
TBD,TBD,maxvit_base_tf_384.in21k_ft_in1k,384,87.928,,10.0,302.5955469884641,33.05272400348432,819.3063429151882,True
TBD,TBD,maxvit_base_tf_512.in1k,512,86.598,,4.0,168.36549625024773,23.75870807,1474.2458981485813,True
TBD,TBD,maxvit_base_tf_512.in21k_ft_in1k,512,88.212,,4.0,166.95337389286394,23.959869419191918,1487.2594120904039,True
TBD,TBD,maxvit_large_tf_224.in1k,224,84.934,,20.0,641.8025964775538,31.16331462622951,386.20046959371314,True
TBD,TBD,maxvit_large_tf_384.in1k,384,86.236,,8.0,214.5403133889621,37.29072130196078,1156.7595126693038,True
TBD,TBD,maxvit_large_tf_384.in21k_ft_in1k,384,87.996,,8.0,216.3653587636472,36.97589842801557,1151.5917264043726,True
TBD,TBD,maxvit_large_tf_512.in1k,512,86.534,,4.0,119.13562761605333,33.57638040070922,2083.26512065836,True
TBD,TBD,maxvit_large_tf_512.in21k_ft_in1k,512,88.236,,4.0,121.1677283836628,33.01366813194444,2049.0313132571096,True
TBD,TBD,maxvit_nano_rw_256.sw_in1k,256,82.942,,160.0,4304.229653090412,37.17402933984375,57.881296242013924,True
TBD,TBD,maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.908,,42.0,1146.9770677076006,36.623005607692306,216.07128304085347,True
TBD,TBD,maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,87.812,,20.0,383.8487685444894,52.1065161420765,648.9234841619564,True
TBD,TBD,maxvit_rmlp_nano_rw_256.sw_in1k,256,82.98,,160.0,4281.170173149524,37.37396315354331,58.204250601442425,True
TBD,TBD,maxvit_rmlp_pico_rw_256.sw_in1k,256,80.55,,208.0,5783.677816340536,35.96636842803031,43.12245508872942,True
TBD,TBD,maxvit_rmlp_small_rw_224.sw_in1k,224,84.484,,80.0,2332.2624796203163,34.308284032490974,106.86450243982084,True
TBD,TBD,maxvit_rmlp_tiny_rw_256.sw_in1k,256,84.234,,92.0,2826.7552970962047,32.5487857260274,88.17143400451013,True
TBD,TBD,maxvit_small_tf_224.in1k,224,84.456,,40.0,1587.867798065058,25.19199193899204,156.83933428041115,True
TBD,TBD,maxvit_small_tf_384.in1k,384,85.534,,18.0,527.9965245116275,34.094126179211464,472.12322936369173,True
TBD,TBD,maxvit_small_tf_512.in1k,512,86.104,,10.0,300.3800620604783,33.29979452631579,827.0522377607298,True
TBD,TBD,maxvit_tiny_rw_224.sw_in1k,224,83.522,,128.0,3682.826426536741,34.75688082417583,67.58758903310842,True
TBD,TBD,maxvit_tiny_tf_224.in1k,224,83.422,,80.0,2502.7342687956807,31.96921657575757,99.37315085996548,True
TBD,TBD,maxvit_tiny_tf_384.in1k,384,85.102,,24.0,831.2992202689508,28.87252324924012,300.0707167446606,True
TBD,TBD,maxvit_tiny_tf_512.in1k,512,85.66,,12.0,465.7068139859744,25.76800229539296,535.0426932357271,True
TBD,TBD,maxvit_xlarge_tf_384.in21k_ft_in1k,384,88.304,,4.0,125.2871016347044,31.927626144295303,1981.153101951938,True
